	CDC73	CPSF1	CPSF2	CPSF3	CPSF3L	CPSF4	CPSF6	CPSF7	CSTF1	CSTF2	CSTF3	CTR9	FIP1L1	LEO1	NUDT21	PABPC1	PABPN1	PAF1	PAPOLA	PCF11	PHF3	RBBP6	RPAP2	RPRD1A	RPRD1B	SCAF1	SCAF11	SCAF4	SCAF8	SF3A1	SRSF3	SYMPK	THOC5
guide1	0.07169450044652792	0.06631415591057974	0.057582805461963336	0.06335276618109766	0.11036366426898674	0.07147170683059416	0.06902642023705076	0.010786191866708952	0.08661849768179687	0.06106303155922814	0.04321229326227751	0.08135766799458499	0.060721234694655644	0.058174230485855113	0.06816097394041913	0.15966509182690788	0.0753406147081325	0.09245003710350144	0.09926561559731187	0.12385850035392393	0.08867539330309995	0.05187384521841931	0.10319310196356016	0.043907536434338	0.058958699107775014	0.13729837722457494	0.025239074090266503	0.08943238921823486	0.025723539113831177	0.10133443414607857	0.06648834993245693	0.11552709757276028	0.1438886550708782
guide10	0.09714225575553333	0.13879427072730183	0.13136056560485326	0.13128608948857562	0.017630889817124427	0.13857812827596852	0.15185312250743033	0.02546164900505964	0.1279784791986392	0.06492496867920741	0.1136913332005477	0.09471310949911288	0.1382957277369623	0.06019555900298507	0.13685406795920607	0.04967463448068211	0.028201670823974522	0.10085789215904685	0.015977112715768307	0.1260918488643878	-0.07830395049897229	0.11408841689003209	0.07129199267360974	0.048198696201413725	0.15257568860957976	0.11417182176322999	0.01952821718083311	0.06230436935053612	-0.0027759816435651776	0.027901945002380753	0.0621373921188857	0.1354878191521578	0.08272435908909581
guide11	0.02050245716098534	0.10686063577006868	0.0949481352403289	0.11127576072185122	-0.06250505175909868	0.1388724142316963	0.17061304409815994	-0.01241694803764814	0.13966722839658235	0.07886208762987655	0.09288000162044223	0.04343582142117649	0.07612607214626388	0.00492898644389915	0.1547654607379831	0.07027100841693545	0.05102396524138197	0.04326523257923691	-0.01549994148049975	0.08165887193799855	-0.07268148458583888	0.06705741920271076	0.05994182734491888	-0.0009167024006778706	0.13352590391196734	0.18261400264160732	0.13268789446967863	0.10177917129402463	0.026011035776301414	-0.015998939545778548	0.021536260612584197	0.1568511635964435	0.04869186398886404
guide12	0.19285892722565984	0.3491904276331627	0.2989068517727635	0.3013027703388488	0.09582666622031094	0.3556727540906022	0.36365627504005643	0.012266565308876822	0.34527535808171267	0.19505162979582927	0.2635668212155431	0.20985674177467792	0.3311301743054594	0.12393794154881395	0.33358744998244955	0.22280235165633394	0.15645511379545193	0.22282473530136268	0.09797553859520963	0.33554608910794814	-0.13385311437022923	0.23877105627217685	0.23072675248720997	0.0912961253997671	0.32067945120613695	0.3421563904694972	0.07881424570860067	0.2152830878106198	-0.01972870663605403	0.16300850692075194	0.13130087149634914	0.3321970250912154	0.22681055125612268
guide13	0.21318702880952212	0.2835404340607905	0.21808197126801507	0.22715420359899183	0.14243581567775723	0.3093573361705742	0.5470032820110741	0.08755843914347501	0.327488865139439	0.15163261426803396	0.23812144647276684	0.23396799144421512	0.2766523363534408	0.11194648716250422	0.655553066497727	0.23779062424656996	0.16196387861843753	0.2319381953921379	-0.004405208540268146	0.2583814078135987	-0.10823367557398345	0.17126802528923715	0.23637658263454214	0.048020843202307845	0.3347665914807059	0.37366422651413345	0.06258242803307676	0.2281781739277376	0.06271365991835462	0.16879344787629236	0.24563069547212443	0.2956514313599409	0.22420791564947334
guide14	0.31358832800038866	0.2614081959437968	0.2606330624291319	0.24593513158203512	0.12384503681445228	0.27722853553149396	0.2269146552927659	0.03791394359407181	0.26366855260847794	0.17025779452264367	0.14665112666267452	0.3330770271000653	0.22193343217222078	0.2873874437660891	0.20033596029867395	0.22068924489601666	0.16102962822041256	0.3272794316737671	0.0945601292474749	0.25472858264391507	-0.06855477647399882	0.15947979224036832	0.165914240071835	0.044475498072891854	0.22515895746191997	0.294275564810472	0.01782530789767231	0.2105834700066046	-0.007472094310735835	0.2047444957257219	0.12469604987590716	0.27714086562326956	0.24094040505702172
guide15	0.10763939812584013	0.22738851639673627	0.16435900688291247	0.1850316173206503	0.024040571995117926	0.25215760533358506	0.26947077205752934	-0.0008700099072941843	0.26546182446582384	0.18429987856493144	0.1584613534010886	0.12644360878237998	0.19077394227055683	0.09020777648669788	0.24481135194922038	0.2758081996700737	0.11519090554225762	0.1580834720129303	0.08642223674589253	0.22431769203241153	-0.09379159814962308	0.14194337081881903	0.18653831070952	0.053775814691198805	0.19960112835792143	0.3493082102459059	0.052986477563254114	0.2076395975649679	-0.025580562163713145	0.11483524555931791	0.06683575397718436	0.284451805039162	0.17795319509165947
guide16	0.20284989156578	0.33808712175742	0.2753806819851017	0.3068925614176403	0.16454963976991835	0.3715326390101838	0.35588216569206627	0.01162086338864768	0.415992063645385	0.21855214466314415	0.2577462579326052	0.25080621833215067	0.3194173479964884	0.10018613164594758	0.35430306484307517	0.35452447980539875	0.20547480426421416	0.26447311075612556	0.13782368086545613	0.3360862985638655	-0.1511852436340871	0.23252278689521103	0.2872103160369284	0.02586259336055062	0.3922292412748129	0.4549257141230322	0.08528934983972089	0.27761534869210086	0.05901786031518842	0.22187494441335995	0.2182617580789802	0.4321624907546372	0.2537268079160496
guide17	0.1696251643794587	0.4339474577568549	0.42148557766043254	0.43703832350951916	0.12148115005464999	0.47803835182245097	0.2662417069048962	0.05147069856382743	0.37481519819415043	0.22081439240780174	0.3506063995998843	0.2103148295149799	0.4520966793447231	0.16687259475975785	0.23897491193832057	0.26331287334876585	0.1315276638791754	0.23559207819533748	0.2628505112330619	0.44679748138782704	-0.07583305548661899	0.3606435563494173	0.20945924365909258	0.13646215981701154	0.22918447791418514	0.31389957624044734	0.0594459519868888	0.1742850543239606	-0.06267354518836848	0.1975804408142557	0.05801810468537242	0.38892559895598694	0.24987356345894213
guide18	0.15242569515781848	0.17077012419552862	0.14802854217483258	0.16679736142030396	0.10937075229430529	0.22312250904894973	0.2298261264196386	-0.012894671181028584	0.22862281348305113	0.19108929103456687	0.12115430584903422	0.14968256985392425	0.20009629269572993	0.07192811375133523	0.2155335730875524	0.5637146727621882	0.10848587975249513	0.20041459751407933	0.09243145419321282	0.232300741565344	-0.1151343850361572	0.14397757329232388	0.21502689870209982	0.07333388935235868	0.15534903355771779	0.38330899045698874	0.11647350415112132	0.22986675621278913	0.02706722715110164	0.14351522288770874	0.08297837598578177	0.29023963110966716	0.1531192367571614
