query_guide	ref_target	correlation
guide1	SCAF1	0.17384944165386698
guide10	CPSF1	0.16242673604518695
guide11	SCAF1	0.23292898633860618
guide12	CPSF4	0.3855675940322593
guide13	NUDT21	0.635613518026643
guide14	CTR9	0.3701310461444895
guide15	SCAF1	0.3812218715009937
guide16	SCAF1	0.5194734398610422
guide17	CPSF4	0.5172529981190574
guide18	PABPC1	0.5319003985654137
guide19	CPSF6	0.5184400858432592
guide2	CPSF7	0.20294798972587977
guide20	PCF11	0.5591169866077815
guide21	CPSF2	0.4735364320479216
guide22	CPSF4	0.5376759216086338
guide23	SCAF1	0.3787299217622688
guide24	PABPN1	0.39934320326344525
guide25	CPSF3	0.45617639588102915
guide26	SCAF1	0.4319174342989785
guide27	SCAF1	0.4181061727105968
guide28	CSTF1	0.37148409603258414
guide29	CPSF4	0.5514573027183585
guide3	CPSF2	0.5369877878249812
guide30	CSTF1	0.38437086195003195
guide31	CSTF1	0.22182349888301076
guide32	RPRD1B	0.051593620815935236
guide4	CPSF1	0.671138403815888
guide5	PCF11	0.4554521275194916
guide6	SCAF4	0.2580558229752977
guide7	PAPOLA	0.33283049898043393
guide8	CPSF2	0.28729607338149754
guide9	RBBP6	0.45302705988791553
