target_gene	metric	rank	query_guide	score
PABPC1	pearson_all	1	guide18	0.5319003985654137
PABPC1	pearson_all	2	guide16	0.33822252297866107
PABPC1	pearson_all	3	guide15	0.2658213449585258
NUDT21	pearson_all	1	guide13	0.635613518026643
NUDT21	pearson_all	2	guide19	0.51268960132811
NUDT21	pearson_all	3	guide16	0.3357063491831236
LEO1	pearson_all	1	guide14	0.3142499229346322
LEO1	pearson_all	2	guide17	0.2232220927926771
LEO1	pearson_all	3	guide20	0.20642313273037047
PABPC1	pearson_var	1	guide18	0.5637146727621882
PABPC1	pearson_var	2	guide16	0.35452447980539875
PABPC1	pearson_var	3	guide15	0.2758081996700737
NUDT21	pearson_var	1	guide13	0.655553066497727
NUDT21	pearson_var	2	guide19	0.538416773630773
NUDT21	pearson_var	3	guide16	0.35430306484307517
LEO1	pearson_var	1	guide14	0.2873874437660891
LEO1	pearson_var	2	guide17	0.16687259475975785
LEO1	pearson_var	3	guide20	0.15331462825876568
PABPC1	spearman_var	1	guide18	0.4253394081815764
PABPC1	spearman_var	2	guide16	0.2682673840106954
PABPC1	spearman_var	3	guide28	0.22129892795595715
NUDT21	spearman_var	1	guide13	0.577529674141187
NUDT21	spearman_var	2	guide19	0.45883281131331255
NUDT21	spearman_var	3	guide16	0.311342098725684
LEO1	spearman_var	1	guide14	0.2591061819802473
LEO1	spearman_var	2	guide17	0.1758867093394684
LEO1	spearman_var	3	guide20	0.15851504237260172
PABPC1	jaccard_top200	1	guide18	0.2618296529968454
PABPC1	jaccard_top200	2	guide4	0.1267605633802817
PABPC1	jaccard_top200	3	guide16	0.12359550561797752
NUDT21	jaccard_top200	1	guide13	0.2618296529968454
NUDT21	jaccard_top200	2	guide19	0.19760479041916168
NUDT21	jaccard_top200	3	guide4	0.1267605633802817
LEO1	jaccard_top200	1	guide14	0.08991825613079019
LEO1	jaccard_top200	2	guide28	0.08695652173913043
LEO1	jaccard_top200	3	guide3	0.08401084010840108
