variableMetadata	miRNA_name	group_ttest_Patient.Control_dif	group_ttest_Patient.Control_bonferroni	group_ttest_Patient.Control_sig
hsa-let-7a	hsa-let-7a	-0.901806199999989	1	0
hsa-let-7b	hsa-let-7b	-0.602562200000001	1	0
hsa-let-7b*	hsa-let-7b*	-1.5175362	1	0
hsa-let-7c	hsa-let-7c	-0.760216400000001	1	0
hsa-let-7d	hsa-let-7d	-1.34106319999999	1	0
hsa-let-7d*	hsa-let-7d*	-0.683065899999999	1	0
hsa-let-7e	hsa-let-7e	-0.90470770000001	1	0
hsa-let-7f	hsa-let-7f	-0.818680399999991	1	0
hsa-let-7g	hsa-let-7g	-1.133666	1	0
hsa-let-7i	hsa-let-7i	-0.989803500000001	1	0
hsa-let-7i*	hsa-let-7i*	-0.759430900000002	1	0
hsa-miR-1	hsa-miR-1	-1.4221472	1	0
hsa-miR-101	hsa-miR-101	-0.76588779999998	1	0
hsa-miR-103	hsa-miR-103	-1.55864685	0.787257371112199	0
hsa-miR-103-2*	hsa-miR-103-2*	-0.433336600000001	1	0
hsa-miR-106a	hsa-miR-106a	-1.34262300000002	0.678614556557768	0
hsa-miR-106b	hsa-miR-106b	-0.593391400000012	1	0
hsa-miR-106b*	hsa-miR-106b*	-1.33017025555555	0.292284522937945	0
hsa-miR-107	hsa-miR-107	-1.5196152	0.51198253271969	0
hsa-miR-10a	hsa-miR-10a	0.825954809259258	1	0
hsa-miR-10b	hsa-miR-10b	-0.413818900000003	1	0
hsa-miR-122	hsa-miR-122	-0.268874099999987	1	0
hsa-miR-125a-5p	hsa-miR-125a-5p	-0.51915120000001	1	0
hsa-miR-125b	hsa-miR-125b	-0.969021000000001	1	0
hsa-miR-126	hsa-miR-126	-0.780374799999979	1	0
hsa-miR-127-3p	hsa-miR-127-3p	-0.8815092	1	0
hsa-miR-128	hsa-miR-128	-1.24564960000001	1	0
hsa-miR-130a	hsa-miR-130a	-2.07673599999999	0.281264478184857	0
hsa-miR-132	hsa-miR-132	-1.1472431	1	0
hsa-miR-133a	hsa-miR-133a	-1.50736770000001	1	0
hsa-miR-133b	hsa-miR-133b	-0.902587000000011	1	0
hsa-miR-136	hsa-miR-136	1.30398627592592	1	0
hsa-miR-139-5p	hsa-miR-139-5p	-0.369399600000012	1	0
hsa-miR-140-3p	hsa-miR-140-3p	-0.888769199999992	1	0
hsa-miR-140-5p	hsa-miR-140-5p	-0.4785054	1	0
hsa-miR-142-3p	hsa-miR-142-3p	-0.215356400000008	1	0
hsa-miR-142-5p	hsa-miR-142-5p	-1.4759166	1	0
hsa-miR-143	hsa-miR-143	-0.540210999999978	1	0
hsa-miR-144	hsa-miR-144	-0.7081622	1	0
hsa-miR-144*	hsa-miR-144*	-0.180309000000001	1	0
hsa-miR-145	hsa-miR-145	-0.9649827	1	0
hsa-miR-146a	hsa-miR-146a	-0.722457500000001	1	0
hsa-miR-148a	hsa-miR-148a	-0.70964630000001	1	0
hsa-miR-148b	hsa-miR-148b	-0.780910099999989	1	0
hsa-miR-150	hsa-miR-150	0.154316299999998	1	0
hsa-miR-151-3p	hsa-miR-151-3p	-0.260689500000009	1	0
hsa-miR-151-5p	hsa-miR-151-5p	-0.847579799999998	1	0
hsa-miR-152	hsa-miR-152	-0.452085100000001	1	0
hsa-miR-154	hsa-miR-154	-0.548512009259262	1	0
hsa-miR-155	hsa-miR-155	-0.686577500000002	1	0
hsa-miR-15a	hsa-miR-15a	-0.989427999999997	1	0
hsa-miR-15b	hsa-miR-15b	-0.560940600000009	1	0
hsa-miR-15b*	hsa-miR-15b*	-1.069841	1	0
hsa-miR-16	hsa-miR-16	-1.28426255	1	0
hsa-miR-16-2*	hsa-miR-16-2*	-0.774780999999997	1	0
hsa-miR-17	hsa-miR-17	-1.4703892	1	0
hsa-miR-181a	hsa-miR-181a	-0.536987199999988	1	0
hsa-miR-182	hsa-miR-182	-0.0976009000000104	1	0
hsa-miR-185	hsa-miR-185	-0.398041199999991	1	0
hsa-miR-186	hsa-miR-186	-0.418113800000004	1	0
hsa-miR-18a	hsa-miR-18a	-0.795957299999991	1	0
hsa-miR-18a*	hsa-miR-18a*	-1.19509537592592	1	0
hsa-miR-18b	hsa-miR-18b	-0.638431499999999	1	0
hsa-miR-191	hsa-miR-191	-0.331973850000001	1	0
hsa-miR-192	hsa-miR-192	-0.5032608	1	0
hsa-miR-193b	hsa-miR-193b	-0.595849000000001	1	0
hsa-miR-194	hsa-miR-194	-0.607834199999989	1	0
hsa-miR-195	hsa-miR-195	-0.366292299999991	1	0
hsa-miR-197	hsa-miR-197	-0.706648900000001	1	0
hsa-miR-1974	hsa-miR-1974	-1.673227	0.172905367292826	0
hsa-miR-199a-3p	hsa-miR-199a-3p	-1.20851929999999	1	0
hsa-miR-199a-5p	hsa-miR-199a-5p	-1.35304949999999	1	0
hsa-miR-19a	hsa-miR-19a	-0.544820599999991	1	0
hsa-miR-19b	hsa-miR-19b	0.420596199999991	1	0
hsa-miR-200c	hsa-miR-200c	-0.167996400000014	1	0
hsa-miR-205	hsa-miR-205	0.116735299999988	1	0
hsa-miR-20a	hsa-miR-20a	-1.32290689999999	1	0
hsa-miR-20a*	hsa-miR-20a*	-1.0266932650463	1	0
hsa-miR-20b	hsa-miR-20b	-1.68191590000001	0.0824170920564177	0
hsa-miR-21	hsa-miR-21	0.510169900000001	1	0
hsa-miR-210	hsa-miR-210	-0.367957100000009	1	0
hsa-miR-2110	hsa-miR-2110	-0.79941010000001	1	0
hsa-miR-215	hsa-miR-215	-0.479095300000001	1	0
hsa-miR-22	hsa-miR-22	-0.295394000000002	1	0
hsa-miR-22*	hsa-miR-22*	-0.872673900000002	1	0
hsa-miR-221	hsa-miR-221	-1.7461281	0.946144462863581	0
hsa-miR-222	hsa-miR-222	-1.52719270000001	0.245487876759004	0
hsa-miR-223	hsa-miR-223	-0.453432899999992	1	0
hsa-miR-223*	hsa-miR-223*	0.4079412	1	0
hsa-miR-23a	hsa-miR-23a	-0.580405499999991	1	0
hsa-miR-23b	hsa-miR-23b	-0.73138100000001	1	0
hsa-miR-24	hsa-miR-24	-0.68114490000001	1	0
hsa-miR-25	hsa-miR-25	-0.7407851	1	0
hsa-miR-26a	hsa-miR-26a	-0.843030499999998	1	0
hsa-miR-26b	hsa-miR-26b	-0.51360009999998	1	0
hsa-miR-27a	hsa-miR-27a	-0.879278499999998	1	0
hsa-miR-27b	hsa-miR-27b	-0.752522600000002	1	0
hsa-miR-28-3p	hsa-miR-28-3p	-0.649178199999998	1	0
hsa-miR-28-5p	hsa-miR-28-5p	-0.7008659	1	0
hsa-miR-297	hsa-miR-297	-0.756920599999997	1	0
hsa-miR-29a	hsa-miR-29a	0.19170530000001	1	0
hsa-miR-29a*	hsa-miR-29a*	0.542272600000004	1	0
hsa-miR-29b	hsa-miR-29b	-0.425709199999989	1	0
hsa-miR-29b-2*	hsa-miR-29b-2*	-1.11647576041668	1	0
hsa-miR-29c	hsa-miR-29c	-0.31109549999999	1	0
hsa-miR-301a	hsa-miR-301a	-1.6878008	1	0
hsa-miR-30a	hsa-miR-30a	-0.542088200000009	1	0
hsa-miR-30b	hsa-miR-30b	-1.7734397	0.542804378609795	0
hsa-miR-30c	hsa-miR-30c	-1.4481813	0.838480697371773	0
hsa-miR-30d	hsa-miR-30d	-1.16482129999999	0.759046779158723	0
hsa-miR-30e	hsa-miR-30e	-1.28270030000001	0.30184011538015	0
hsa-miR-30e*	hsa-miR-30e*	-0.874205200000013	1	0
hsa-miR-32	hsa-miR-32	-1.36960749999999	0.751384645818249	0
hsa-miR-320a	hsa-miR-320a	-0.5231128	1	0
hsa-miR-320b	hsa-miR-320b	-0.44016670000001	1	0
hsa-miR-324-3p	hsa-miR-324-3p	-0.225518700000002	1	0
hsa-miR-324-5p	hsa-miR-324-5p	-0.518426799999993	1	0
hsa-miR-326	hsa-miR-326	-0.801389699999991	1	0
hsa-miR-328	hsa-miR-328	-1.256724	1	0
hsa-miR-331-3p	hsa-miR-331-3p	-1.06734349999999	1	0
hsa-miR-335	hsa-miR-335	-0.487462099999998	1	0
hsa-miR-338-3p	hsa-miR-338-3p	0.2442423	1	0
hsa-miR-339-3p	hsa-miR-339-3p	-0.589827500000013	1	0
hsa-miR-339-5p	hsa-miR-339-5p	-0.502864800000012	1	0
hsa-miR-33a	hsa-miR-33a	-0.859369299999997	1	0
hsa-miR-342-3p	hsa-miR-342-3p	-0.478805599999998	1	0
hsa-miR-346	hsa-miR-346	-0.0866072000000031	1	0
hsa-miR-34a	hsa-miR-34a	-1.7696911	0.513538448408887	0
hsa-miR-361-3p	hsa-miR-361-3p	-0.599910600000012	1	0
hsa-miR-363	hsa-miR-363	-0.844114799999989	1	0
hsa-miR-365	hsa-miR-365	-1.425126	1	0
hsa-miR-374a	hsa-miR-374a	-0.202941299999999	1	0
hsa-miR-374b	hsa-miR-374b	0.0560771999999901	1	0
hsa-miR-375	hsa-miR-375	0.544203200000013	1	0
hsa-miR-376a	hsa-miR-376a	-0.0497963000000006	1	0
hsa-miR-378	hsa-miR-378	-0.291501699999991	1	0
hsa-miR-382	hsa-miR-382	-0.314279799999998	1	0
hsa-miR-409-3p	hsa-miR-409-3p	-0.698119599999998	1	0
hsa-miR-421	hsa-miR-421	-1.1377143	0.880432277982341	0
hsa-miR-423-3p	hsa-miR-423-3p	-1.02277880000001	1	0
hsa-miR-423-5p	hsa-miR-423-5p	-0.56439975	1	0
hsa-miR-424	hsa-miR-424	-0.104349500000009	1	0
hsa-miR-425	hsa-miR-425	-0.412085350000002	1	0
hsa-miR-425*	hsa-miR-425*	-1.11039830000001	1	0
hsa-miR-451	hsa-miR-451	-0.91369735	1	0
hsa-miR-484	hsa-miR-484	-1.0421997	0.615697125458843	0
hsa-miR-485-3p	hsa-miR-485-3p	-1.5259569	1	0
hsa-miR-486-5p	hsa-miR-486-5p	-1.17481980000001	0.317044909377206	0
hsa-miR-495	hsa-miR-495	-1.4737442	1	0
hsa-miR-497	hsa-miR-497	-0.45932929999999	1	0
hsa-miR-500a	hsa-miR-500a	-0.475702442592585	1	0
hsa-miR-501-3p	hsa-miR-501-3p	-1.1251402	1	0
hsa-miR-502-3p	hsa-miR-502-3p	-0.664630500000008	1	0
hsa-miR-505	hsa-miR-505	-0.621467200000012	1	0
hsa-miR-532-3p	hsa-miR-532-3p	-0.970792500000002	1	0
hsa-miR-532-5p	hsa-miR-532-5p	-1.14471040000001	0.185453359290685	0
hsa-miR-543	hsa-miR-543	-0.902836699999998	1	0
hsa-miR-551b	hsa-miR-551b	-0.868248153703703	1	0
hsa-miR-574-3p	hsa-miR-574-3p	-0.683238600000003	1	0
hsa-miR-584	hsa-miR-584	-0.381104000000001	1	0
hsa-miR-590-5p	hsa-miR-590-5p	-0.260116500000002	1	0
hsa-miR-605	hsa-miR-605	-1.40553400000001	1	0
hsa-miR-629	hsa-miR-629	-0.384006899999989	1	0
hsa-miR-652	hsa-miR-652	-1.2051487	0.632426381639165	0
hsa-miR-660	hsa-miR-660	-0.493410000000001	1	0
hsa-miR-720	hsa-miR-720	-0.743898399999999	1	0
hsa-miR-766	hsa-miR-766	-1.6321697	1	0
hsa-miR-885-5p	hsa-miR-885-5p	-1.0830472	1	0
hsa-miR-92a	hsa-miR-92a	-1.1528714	0.125586587854875	0
hsa-miR-92b	hsa-miR-92b	-0.559340999999996	1	0
hsa-miR-93	hsa-miR-93	-1.0819161	0.823075803217758	0
hsa-miR-93*	hsa-miR-93*	-0.237737600000003	1	0
hsa-miR-95	hsa-miR-95	-0.313672653439156	1	0
hsa-miR-99a	hsa-miR-99a	-0.811160100000009	1	0
hsa-miR-99b	hsa-miR-99b	-0.907081299999987	1	0
