a	b	bin_log_pearson	top_bin_jaccard	chrom_js_distance
1	2	0.7312486584047502	0.11770334928229666	0.1059193012765435
1	3	0.7248986058814103	0.08853681267474371	0.11043756485580339
1	4	0.7051209723075924	0.09260991580916744	0.08180197459614791
1	5	0.8504834692784912	0.18699186991869918	0.11445356055492636
1	6	0.715810299954517	0.09981167608286252	0.15069773481085527
1	7	0.7675466206408003	0.11238095238095239	0.10603127856584309
1	8	0.8110129067872729	0.07352941176470588	0.08697765766593162
1	9	0.7787210752410068	0.033628318584070796	0.2620009697375345
1	10	0.7679739053395988	0.04659498207885305	0.11452641929214642
2	3	0.8288406794701555	0.2737186477644493	0.08606130138505383
2	4	0.7620063076379564	0.21036269430051813	0.06912452574325743
2	5	0.7689195392121094	0.19183673469387755	0.12550289469254888
2	6	0.795894226147574	0.23991507430997877	0.1350928377929791
2	7	0.8158374077915993	0.3182844243792325	0.09321580056739442
2	8	0.806673219760469	0.15988083416087387	0.1085458167016465
2	9	0.7800625522079916	0.082483781278962	0.2607653203179779
2	10	0.8179183715525481	0.1845841784989858	0.09332634482345854
3	4	0.8002430606674394	0.1930541368743616	0.09490449748975786
3	5	0.7535891810420674	0.18218623481781376	0.1315212842099307
3	6	0.8992601637124155	0.33638443935926776	0.08134921068573346
3	7	0.9059366006051579	0.4860050890585242	0.0610863056277239
3	8	0.8334228289786688	0.32276330690826727	0.08972581245915512
3	9	0.8444983799065351	0.10815939278937381	0.2510092401854705
3	10	0.9116564349671402	0.3333333333333333	0.05851493648787828
4	5	0.7372743649906743	0.13068731848983542	0.11202469678213549
4	6	0.8165523387352583	0.168	0.14410213259851998
4	7	0.8181687461913462	0.20041109969167523	0.09815792955345864
4	8	0.7209246853786425	0.11344137273593899	0.11621609420259171
4	9	0.7469830923920786	0.07550644567219153	0.26893149503300107
4	10	0.8005750180454063	0.14285714285714285	0.09827139656560895
5	6	0.7649639603627054	0.19427402862985685	0.15141556964858752
5	7	0.7836078012530613	0.20910973084886128	0.14369695165799737
5	8	0.8272756774621282	0.14173998044965788	0.1138463830777944
5	9	0.7889451408387627	0.05605786618444846	0.2882398559174168
5	10	0.7898446781824959	0.12199807877041306	0.11836037436882503
6	7	0.8927500882103373	0.3425287356321839	0.10914204667482627
6	8	0.7611341042188646	0.24919786096256685	0.11311003228774569
6	9	0.8002562840387044	0.10396975425330812	0.21861542357578578
6	10	0.8698399007735784	0.2066115702479339	0.08048566361547863
7	8	0.7956766234458045	0.24653148345784417	0.094584403549666
7	9	0.8164663252111795	0.082483781278962	0.26048045600978315
7	10	0.8897805258100051	0.23076923076923078	0.08119757472097922
8	9	0.8979831848042733	0.14960629921259844	0.253168057778887
8	10	0.873023705457366	0.35028901734104045	0.0873746040747988
9	10	0.8929178388991408	0.17386934673366833	0.22810748446231024
