2	1	1	99062180	2.0189339665248634e-08
1	12	12	23235100	4.3038334244311406e-08
2	13	13	22362767	8.943437097922632e-08
1	14	14	23265108	4.298282217301549e-08
2	17	17	16938386	1.1807500431268954e-07
3	19	19	12787533	2.3460350014346005e-07
6	2	2	123451405	4.860212000017335e-08
1	21	21	13093161	7.637575066861242e-08
1	24	24	11344391	8.814928893053845e-08
1	26	26	46055897	2.1712746144103977e-08
1	29	29	3496993	2.859599661766552e-07
5	3	3	121534940	4.114043253734276e-08
1	30	30	22021689	4.540977760606827e-08
3	4	4	8011800	3.744476896577548e-07
5	5	5	76278832	6.55489848087868e-08
2	6	6	66143299	3.023737899737961e-08
1	8	8	38659334	2.5866974325010358e-08
2	9	9	33574751	5.956857282426309e-08
3	W	W	6742290	4.449526792825583e-07
8	Z	Z	79826082	1.0021787114642555e-07
