candidate	motif_matrices	target_sites	background_sites	target_peaks_with_hit	background_peaks_with_hit	target_total_peaks	background_total_peaks	target_site_density	background_site_density	site_density_fold	target_peak_fraction	background_peak_fraction	peak_fraction_fold	peak_fraction_z_pvalue
PAX7	3	37291	17040	12715	6315	58564	70027	0.6367563691	0.2433347138	2.616750455	0.2171129021	0.09017950219	2.407467827	0
GATA3	4	26697	17359	11071	7531	58564	70027	0.4558602554	0.2478900995	1.838942595	0.1890410491	0.1075442329	1.757760793	0
TCF7	3	28848	18885	16708	11840	58564	70027	0.492589304	0.2696816942	1.826541477	0.2852947203	0.1690776415	1.687338478	0
FOXA1	5	77430	50803	23725	16863	58564	70027	1.322143296	0.7254773159	1.82243992	0.4051123557	0.2408071173	1.682296131	0
RUNX1	3	26573	26701	12665	12880	58564	70027	0.4537429137	0.3812957859	1.190002542	0.2162591353	0.1839290559	1.175775501	1.853832696e-47
SPI1	6	99817	116776	28193	30940	58564	70027	1.704408852	1.66758536	1.022082667	0.4814049587	0.44182958	1.089573307	1.203719585e-45
KLF4	5	111779	224799	34717	42918	58564	70027	1.908664026	3.210176075	0.5945681089	0.5928044532	0.61287789	0.9672499112	2.317601721e-13
ASCL1	5	31388	95409	8637	20774	58564	70027	0.5359606584	1.362460194	0.3933813184	0.1474796803	0.2966570037	0.4971555245	0
REST	3	12485	39586	6241	16349	58564	70027	0.2131855748	0.5652962429	0.377132207	0.1065671744	0.2334670913	0.4564774083	0
TFAP2A	8	29145	193700	8649	27305	58564	70027	0.4976606789	2.766075942	0.1799183907	0.1476845844	0.3899210305	0.3787700741	0
