GroupBy(Chromosome)	count(Chromosome)	﻿Chromosome	Length	Density
W	184	W	6742290	2.729043099599691e-05
33	6	33	477022	1.2578036233129709e-05
35	13	35	1321807	9.835021300386517e-06
4	77	4	8011800	9.610824034549041e-06
37	3	37	336161	8.924295203786281e-06
39	1	39	167149	5.982686106408055e-06
27	13	27	6387999	2.035066066854425e-06
17	33	17	16938386	1.948237571159377e-06
24	19	24	11344391	1.6748364896802305e-06
30	33	30	22021689	1.498522661000253e-06
31	7	31	4714721	1.4847113964962084e-06
29	5	29	3496993	1.429799830883276e-06
26	60	26	46055897	1.3027647686462386e-06
20	18	20	13899114	1.2950465763501184e-06
1	115	1	99062180	1.1608870307517965e-06
2	141	2	123451405	1.1421498200040737e-06
5	85	5	76278832	1.1143327417493755e-06
25	8	25	7312786	1.093974307466402e-06
15	23	15	21088201	1.0906572827146326e-06
14	24	14	23265108	1.0315877321523717e-06
3	118	3	121534940	9.709142078812891e-07
6	63	6	66143299	9.524774384174578e-07
13	21	13	22362767	9.390608952818763e-07
11	22	11	23986915	9.171667136019784e-07
7	37	7	40978052	9.029223741528758e-07
28	7	28	7803721	8.970079786296819e-07
12	19	12	23235100	8.177283506419168e-07
10	23	10	28816175	7.981628373647787e-07
19	10	19	12787533	7.820116671448668e-07
8	28	8	38659334	7.242752811002901e-07
9	23	9	33574751	6.850385874790255e-07
21	8	21	13093161	6.110060053488994e-07
22	5	22	8696975	5.74912541429635e-07
Z	42	Z	79826082	5.261438235187342e-07
16	6	16	17487702	3.430982527035285e-07
18	4	18	15572589	2.5686159186503927e-07
