metric	value
rows	308837
sum	1000001.143999893
nonzero_bins	283912
min_positive	0.013
max	307.646
first_chrom	chr10
last_chrom	chrY
sha256_uncompressed_lines	be2f49e604deb7c851ac64e4abc38088df54a0ccb6a0b5e147a73b41d59606e7
top_positive_values	value,count
value_count	0.787,2958
value_count	0.76,2917
value_count	0.734,2892
value_count	0.839,2888
value_count	0.892,2860
value_count	0.708,2855
value_count	0.813,2834
value_count	0.656,2819
value_count	0.865,2797
value_count	0.918,2760
value_count	0.682,2760
value_count	0.944,2721
value_count	0.97,2686
value_count	0.996,2666
value_count	0.603,2648
value_count	0.629,2645
value_count	1.075,2576
value_count	1.049,2558
value_count	0.577,2537
value_count	0.551,2511
scale_fit	median_residual,p90_residual,scale,inferred_total
scale_candidate	0,2.22044605e-16,0.001,1e+09
scale_candidate	2.155e-05,3.7425e-05,0.001082575,923723530
scale_candidate	6.62727273e-05,0.0001695,0.00118004545,847424984
scale_candidate	7.1325e-05,0.0004875,0.001039675,961839036
scale_candidate	8.075e-05,0.000174,0.00129675,771158666
scale_candidate	0.000103136364,0.000532045455,0.00112922727,885561325
scale_candidate	0.0001102,0.0004337,0.0009633,1.0380982e+09
scale_candidate	0.0001118,0.000526266667,0.00112915833,885615392
scale_candidate	0.000115863636,0.000579090909,0.00123559091,809329360
scale_candidate	0.000118,0.0002497,0.0014391,694878744
scale_candidate	0.00012735,0.00058095,0.00123565,809290657
scale_candidate	0.0001322,0.0004566,0.0010397,961815908
scale_candidate	0.000137163636,0.000332072727,0.00117992727,847509862
scale_candidate	0.0001384,0.0004592,0.0010396,961908426
scale_candidate	0.00016266,0.0003923,0.00129662,771235983
scale_candidate	0.000163733333,0.000390911111,0.00143895556,694948497
scale_candidate	0.000165,0.00062744,0.00136422,733019601
scale_candidate	0.00016685,0.0003356,0.00161655,618601342
scale_candidate	0.000168,0.0004048,0.0009632,1.03820598e+09
scale_candidate	0.000174925,0.0004298875,0.0016163875,618663532
