metric	value
rows	308837
sum	1000001.143999893
nonzero_bins	283912
min_positive	0.013
max	307.646
first_chrom	chr10
last_chrom	chrY
sha256_uncompressed_lines	be2f49e604deb7c851ac64e4abc38088df54a0ccb6a0b5e147a73b41d59606e7
top_positive_values	value,count
value_count	0.787,2958
value_count	0.76,2917
value_count	0.734,2892
value_count	0.839,2888
value_count	0.892,2860
value_count	0.708,2855
value_count	0.813,2834
value_count	0.656,2819
value_count	0.865,2797
value_count	0.918,2760
value_count	0.682,2760
value_count	0.944,2721
value_count	0.97,2686
value_count	0.996,2666
value_count	0.603,2648
value_count	0.629,2645
value_count	1.075,2576
value_count	1.049,2558
value_count	0.577,2537
value_count	0.551,2511
scale_fit	median_residual,p90_residual,scale,inferred_total
scale_candidate	0,2.22044605e-16,0.001,1e+09
scale_candidate	0.00025,0.0005,0.00108333333,923076923
scale_candidate	0.000272727273,0.000545454545,0.00118181818,846153846
scale_candidate	0.0003,0.0006,0.0013,769230769
scale_candidate	0.000333333333,0.000666666667,0.00144444444,692307692
scale_candidate	0.000375,0.00075,0.001625,615384615
scale_candidate	0.000428571429,0.000857142857,0.00185714286,538461538
scale_candidate	0.0005,0.001,0.00216666667,461538462
scale_candidate	0.0006,0.0012,0.0026,384615385
scale_candidate	0.00075,0.0015,0.00325,307692308
scale_candidate	0.001,0.002,0.00433333333,230769231
scale_candidate	0.0015,0.003,0.0065,153846154
scale_candidate	0.003,0.006,0.013,76923076.9
