category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
04380	0.00191466162728908	0.999574964359964	8	118	0.217726530433601	0.99962338028611
00590	0.00193534693718756	0.99962338028611	7	90	0.217726530433601	0.99962338028611
00592	0.00650779363371592	0.999472509438555	3	20	0.488084522528694	0.99962338028611
04270	0.0118369176085008	0.996747528940274	7	122	0.642760520694071	0.99962338028611
00591	0.0142835671265349	0.997632800049228	4	46	0.642760520694071	0.99962338028611
00564	0.0210244200183222	0.995054966834275	5	80	0.788415750687084	0.99962338028611
04512	0.0291492175498201	0.992521813162604	5	86	0.925807284638917	0.99962338028611
00565	0.032917592342717	0.99487638457948	3	36	0.925807284638917	0.99962338028611
04080	0.0377848993619765	0.983945271801825	10	276	0.944622484049413	0.99962338028611
04912	0.0466156706454842	0.98639206417402	5	99	1	0.99962338028611
04975	0.0558164344480216	0.989188725574247	3	45	1	0.99962338028611
00300	0.057710248304319	0.998869644842631	1	3	1	0.99962338028611
00531	0.0592753581825393	0.993098874386899	2	21	1	0.99962338028611
04664	0.0648926840163288	0.982440822944417	4	79	1	0.99962338028611
04540	0.0932732583347631	0.971422857455695	4	88	1	0.99962338028611
05145	0.10377939756904	0.961779792284459	5	126	1	0.99962338028611
04620	0.105610129370953	0.966133623879895	4	101	1	0.99962338028611
05143	0.117512401960867	0.979334695046116	2	31	1	0.99962338028611
04062	0.122859847743968	0.947481489950227	6	178	1	0.99962338028611
04020	0.135203246211271	0.940672537144617	6	178	1	0.99962338028611
04972	0.148125040088072	0.946415185012073	4	103	1	0.99962338028611
05210	0.149061733920689	0.955871081798846	3	63	1	0.99962338028611
04010	0.166165493410368	0.91331134967989	8	266	1	0.99962338028611
04114	0.17233810542055	0.933996611323079	4	111	1	0.99962338028611
04370	0.175280014963183	0.943947362969264	3	76	1	0.99962338028611
03013	0.176824344307384	0.922932649685071	5	157	1	0.99962338028611
