HG00096 HG00096 0 0 1 GBR EUR
HG00097 HG00097 0 0 2 GBR EUR
HG00099 HG00099 0 0 2 GBR EUR
HG00100 HG00100 0 0 2 GBR EUR
HG00101 HG00101 0 0 1 GBR EUR
HG00102 HG00102 0 0 2 GBR EUR
HG00103 HG00103 0 0 1 GBR EUR
HG00105 HG00105 0 0 1 GBR EUR
HG00106 HG00106 0 0 2 GBR EUR
HG00107 HG00107 0 0 1 GBR EUR
HG00108 HG00108 0 0 1 GBR EUR
HG00109 HG00109 0 0 1 GBR EUR
HG00110 HG00110 0 0 2 GBR EUR
HG00111 HG00111 0 0 2 GBR EUR
HG00112 HG00112 0 0 1 GBR EUR
HG00113 HG00113 0 0 1 GBR EUR
HG00114 HG00114 0 0 1 GBR EUR
HG00115 HG00115 0 0 1 GBR EUR
HG00116 HG00116 0 0 1 GBR EUR
HG00117 HG00117 0 0 1 GBR EUR
HG00118 HG00118 0 0 2 GBR EUR
HG00119 HG00119 0 0 1 GBR EUR
HG00120 HG00120 0 0 2 GBR EUR
HG00121 HG00121 0 0 2 GBR EUR
HG00122 HG00122 0 0 2 GBR EUR
HG00123 HG00123 0 0 2 GBR EUR
HG00125 HG00125 0 0 2 GBR EUR
HG00126 HG00126 0 0 1 GBR EUR
HG00127 HG00127 0 0 2 GBR EUR
HG00128 HG00128 0 0 2 GBR EUR
HG00129 HG00129 0 0 1 GBR EUR
HG00130 HG00130 0 0 2 GBR EUR
HG00131 HG00131 0 0 1 GBR EUR
HG00132 HG00132 0 0 2 GBR EUR
HG00133 HG00133 0 0 2 GBR EUR
HG00136 HG00136 0 0 1 GBR EUR
HG00137 HG00137 0 0 2 GBR EUR
HG00138 HG00138 0 0 1 GBR EUR
HG00139 HG00139 0 0 1 GBR EUR
HG00140 HG00140 0 0 1 GBR EUR
HG00141 HG00141 0 0 1 GBR EUR
HG00142 HG00142 0 0 1 GBR EUR
HG00143 HG00143 0 0 1 GBR EUR
HG00145 HG00145 0 0 1 GBR EUR
HG00148 HG00148 0 0 1 GBR EUR
HG00149 HG00149 0 0 1 GBR EUR
HG00150 HG00150 0 0 2 GBR EUR
HG00151 HG00151 0 0 1 GBR EUR
HG00154 HG00154 0 0 2 GBR EUR
HG00157 HG00157 0 0 1 GBR EUR
HG00159 HG00159 0 0 1 GBR EUR
HG00160 HG00160 0 0 1 GBR EUR
HG00171 HG00171 0 0 2 FIN EUR
HG00173 HG00173 0 0 2 FIN EUR
HG00174 HG00174 0 0 2 FIN EUR
HG00176 HG00176 0 0 2 FIN EUR
HG00177 HG00177 0 0 2 FIN EUR
HG00178 HG00178 0 0 2 FIN EUR
HG00179 HG00179 0 0 2 FIN EUR
HG00180 HG00180 0 0 2 FIN EUR
HG00181 HG00181 0 0 1 FIN EUR
HG00182 HG00182 0 0 1 FIN EUR
HG00183 HG00183 0 0 1 FIN EUR
HG00185 HG00185 0 0 1 FIN EUR
HG00186 HG00186 0 0 1 FIN EUR
HG00187 HG00187 0 0 1 FIN EUR
HG00188 HG00188 0 0 1 FIN EUR
HG00189 HG00189 0 0 1 FIN EUR
HG00190 HG00190 0 0 1 FIN EUR
HG00231 HG00231 0 0 2 GBR EUR
