bioproject	run_accession	library_layout	forward_path	reverse_path
PRJNA1354216	SRR35895062	SINGLE	reads/SRR35895062.fastq.gz	
PRJNA1354216	SRR35895058	SINGLE	reads/SRR35895058.fastq.gz	
PRJNA1354216	SRR35895061	SINGLE	reads/SRR35895061.fastq.gz	
PRJNA1354216	SRR35895055	SINGLE	reads/SRR35895055.fastq.gz	
PRJNA1354216	SRR35895056	SINGLE	reads/SRR35895056.fastq.gz	
PRJNA1354216	SRR35895057	SINGLE	reads/SRR35895057.fastq.gz	
PRJNA1354216	SRR35895059	SINGLE	reads/SRR35895059.fastq.gz	
PRJNA1354216	SRR35895060	SINGLE	reads/SRR35895060.fastq.gz	
PRJNA1339024	SRR35763867	PAIRED	reads/SRR35763867_1.fastq.gz	reads/SRR35763867_2.fastq.gz
PRJNA1339024	SRR35763868	PAIRED	reads/SRR35763868_1.fastq.gz	reads/SRR35763868_2.fastq.gz
PRJNA1339024	SRR35763869	PAIRED	reads/SRR35763869_1.fastq.gz	reads/SRR35763869_2.fastq.gz
PRJNA1339024	SRR35763874	PAIRED	reads/SRR35763874_1.fastq.gz	reads/SRR35763874_2.fastq.gz
PRJNA1339024	SRR35763870	PAIRED	reads/SRR35763870_1.fastq.gz	reads/SRR35763870_2.fastq.gz
PRJNA1339024	SRR35763873	PAIRED	reads/SRR35763873_1.fastq.gz	reads/SRR35763873_2.fastq.gz
PRJNA1339024	SRR35763863	PAIRED	reads/SRR35763863_1.fastq.gz	reads/SRR35763863_2.fastq.gz
PRJNA1339024	SRR35763864	PAIRED	reads/SRR35763864_1.fastq.gz	reads/SRR35763864_2.fastq.gz
PRJNA1339024	SRR35763865	PAIRED	reads/SRR35763865_1.fastq.gz	reads/SRR35763865_2.fastq.gz
PRJNA1339024	SRR35763866	PAIRED	reads/SRR35763866_1.fastq.gz	reads/SRR35763866_2.fastq.gz
PRJNA1339024	SRR35763871	PAIRED	reads/SRR35763871_1.fastq.gz	reads/SRR35763871_2.fastq.gz
PRJNA1339024	SRR35763872	PAIRED	reads/SRR35763872_1.fastq.gz	reads/SRR35763872_2.fastq.gz
