matrix	shape_genes_cells	1000	5350
matrix	nonzero_fraction	0.9008994393
matrix	min_max_mean	0	272	9.845535327
qc	library_size_quantiles	9304	9438.98	9518.45	9645.25	9775	10094	10265	10356	10526
qc	library_size_robust_log_limits	9.097189006	9.278182357	9.187685681	0.01743976326
qc	library_size_low_high_counts	0	0
qc	detected_genes_quantiles	864	876	883	892	899	905	945	955	969
qc	detected_genes_robust_log_limits	6.762191242	6.842598285	6.802394763	0.007747686791
qc	detected_genes_low_high_counts	0	336
qc	combined_low_high_two_sided	0	336	336
embedding	top500_variable_shape	5350	30	500
k_diagnostic	top500_variable	2	5350	0.6669186642	8752.710498	0.613248259	1	2703,2647	50.5234,49.4766
k_diagnostic	top500_variable	3	5350	0.8240337594	33817.26318	0.3351068551	1	2500,1850,1000	46.7290,34.5794,18.6916
k_diagnostic	top500_variable	4	5350	0.8229086078	41075.61666	0.2477671781	1	2500,1850,800,200	46.7290,34.5794,14.9533,3.7383
cluster_count	top500_variable	4	1	2500	46.72897196
cluster_count	top500_variable	4	2	1850	34.57943925
cluster_count	top500_variable	4	3	800	14.95327103
cluster_count	top500_variable	4	4	200	3.738317757
marker	top500_variable	4	1	1	30	2.272288428
marker	top500_variable	4	1	2	16	2.155043875
marker	top500_variable	4	1	3	8	2.094472538
marker	top500_variable	4	1	4	74	2.048350079
marker	top500_variable	4	1	5	79	2.043021355
marker	top500_variable	4	2	1	167	2.700107588
marker	top500_variable	4	2	2	171	2.628171555
marker	top500_variable	4	2	3	186	2.603594375
marker	top500_variable	4	2	4	163	2.479919853
marker	top500_variable	4	2	5	178	2.453942468
marker	top500_variable	4	3	1	227	3.409586618
marker	top500_variable	4	3	2	226	3.401990368
marker	top500_variable	4	3	3	290	3.335806948
marker	top500_variable	4	3	4	307	3.214412322
marker	top500_variable	4	3	5	252	3.206516018
marker	top500_variable	4	4	1	227	2.776793633
marker	top500_variable	4	4	2	226	2.772481262
marker	top500_variable	4	4	3	290	2.694389555
marker	top500_variable	4	4	4	317	2.583621328
marker	top500_variable	4	4	5	307	2.576472913
k_diagnostic	top500_variable	5	5350	0.8260380793	57128.39629	0.2527952141	1	2500,1750,800,200,100	46.7290,32.7103,14.9533,3.7383,1.8692
k_diagnostic	top500_variable	6	5350	0.8384367346	74183.1729	0.227391196	1	2500,1750,750,200,100,50	46.7290,32.7103,14.0187,3.7383,1.8692,0.9346
k_diagnostic	top500_variable	7	5350	0.4640261489	62723.57716	1.858381332	0.7133794755	1750,1266,1234,750,200,100,50	32.7103,23.6636,23.0654,14.0187,3.7383,1.8692,0.9346
k_diagnostic	top500_variable	8	5350	0.4619727085	54370.26934	2.070394039	0.7209161418	1750,858,850,792,750,200,100,50	32.7103,16.0374,15.8879,14.8037,14.0187,3.7383,1.8692,0.9346
agreement	top500_variable_k4_kmeans_vs_ward_ARI	1
embedding	all1000_shape	5350	30	1000
k_diagnostic	all1000	2	5350	0.6607335375	8416.002645	0.6440673338	0.9970110124	2799,2551	52.3178,47.6822
k_diagnostic	all1000	3	5350	0.8172259414	32591.42599	0.3437597463	1	2500,1850,1000	46.7290,34.5794,18.6916
k_diagnostic	all1000	4	5350	0.8116272582	38695.5815	0.279872959	1	2500,1850,800,200	46.7290,34.5794,14.9533,3.7383
cluster_count	all1000	4	1	2500	46.72897196
cluster_count	all1000	4	2	1850	34.57943925
cluster_count	all1000	4	3	800	14.95327103
cluster_count	all1000	4	4	200	3.738317757
marker	all1000	4	1	1	27	2.272288428
marker	all1000	4	1	2	13	2.155043875
marker	all1000	4	1	3	6	2.094472538
marker	all1000	4	1	4	70	2.048350079
marker	all1000	4	1	5	75	2.043021355
marker	all1000	4	2	1	161	2.700107588
marker	all1000	4	2	2	164	2.628171555
marker	all1000	4	2	3	178	2.603594375
marker	all1000	4	2	4	157	2.479919853
marker	all1000	4	2	5	171	2.453942468
marker	all1000	4	3	1	215	3.409586618
marker	all1000	4	3	2	214	3.401990368
marker	all1000	4	3	3	273	3.335806948
marker	all1000	4	3	4	283	3.214412322
marker	all1000	4	3	5	237	3.206516018
marker	all1000	4	4	1	215	2.776793633
marker	all1000	4	4	2	214	2.772481262
marker	all1000	4	4	3	273	2.694389555
marker	all1000	4	4	4	286	2.583621328
marker	all1000	4	4	5	283	2.576472913
k_diagnostic	all1000	5	5350	0.8100307514	50387.28685	0.2898774764	1	2500,1750,800,200,100	46.7290,32.7103,14.9533,3.7383,1.8692
k_diagnostic	all1000	6	5350	0.8224403683	61616.25246	0.2655910116	1	2500,1750,750,200,100,50	46.7290,32.7103,14.0187,3.7383,1.8692,0.9346
k_diagnostic	all1000	7	5350	0.4520204311	52037.23932	1.886347735	0.7023538888	1750,1288,1212,750,200,100,50	32.7103,24.0748,22.6542,14.0187,3.7383,1.8692,0.9346
k_diagnostic	all1000	8	5350	0.189773234	44993.82732	3.065493476	0.4921870207	1270,1230,911,839,750,200,100,50	23.7383,22.9907,17.0280,15.6822,14.0187,3.7383,1.8692,0.9346
agreement	all1000_k4_kmeans_vs_ward_ARI	1
agreement	top500_vs_all1000_k4_ARI	1
