module_genes	1	30,16,8,74,79,42,82,29,48,17
module_genes	2	167,171,186,163,178,144,114,197,117,149
module_genes	3	227,226,290,307,252,317,283,244,350,275
fine_module_medians	1	2500	4.390769374	1.177628956	1.151505703
fine_module_means	1	2500	4.39078762	1.17713026	1.151380475
fine_parent_score_rank	1	1	1	3.188015539
fine_module_medians	2	1750	1.141969385	4.4508826	1.218785662
fine_module_means	2	1750	1.1421056	4.450949489	1.219198723
fine_parent_score_rank	2	2	1	3.221051208
fine_module_medians	3	750	1.165026393	1.317686822	4.442104692
fine_module_means	3	750	1.164739491	1.315911549	4.441868094
fine_parent_score_rank	3	3	1	3.123822727
fine_module_medians	4	200	3.737369536	1.320644682	3.797108615
fine_module_means	4	200	3.737073621	1.321879369	3.795585555
fine_parent_score_rank	4	3	0.945	0.06020662678
fine_module_medians	5	100	3.717612724	3.818467219	1.265891087
fine_module_means	5	100	3.716123077	3.81797948	1.277889411
fine_parent_score_rank	5	2	1	0.1018564035
fine_module_medians	6	50	1.197085543	3.826799796	3.778967957
fine_module_means	6	50	1.207518624	3.827140246	3.776952616
fine_parent_score_rank	6	3	0.06	0.05164625936
broad_module_medians	1	2500	4.390769374	1.177628956	1.151505703
broad_module_medians	2	1850	1.147539143	4.449938649	1.222069063
broad_module_medians	3	1000	1.191310743	1.321317785	4.437052205
