qc	high_flags	0	336	336
sizes	top500	2	2703,2647
sizes	top500	3	2500,1850,1000
sizes	top500	4	2500,1850,800,200
sizes	top500	5	2500,1750,800,200,100
sizes	top500	6	2500,1750,750,200,100,50
sizes	top500	7	1750,1266,1234,750,200,100,50
sizes	top500	8	1750,858,850,792,750,200,100,50
agreement	top500_k6_vs_ward_ARI	1
silhouette	top500_k6	0.8387348984
cluster_qc	top500	1	2500	46.72897196	9642.818	9643	9479.9	9810	897.2772	897	884	911	0	0	0.8302473295	0.8115359436
markers	top500	1	30,16,8,74,79,42,82,29,48,17	2.2723,2.155,2.0945,2.0484,2.043,1.9638,1.945,1.8947,1.7903,1.7811
cluster_qc	top500	2	1750	32.71028037	10164.92057	10165	10002.9	10329	901.1662857	901	888	914.55	0	0	0.8454526599	0.8275732568
markers	top500	2	167,171,186,163,178,144,114,197,117,149	2.7363,2.6635,2.639,2.514,2.49,2.4692,2.4628,2.4533,2.399,2.3966
cluster_qc	top500	3	750	14.01869159	9779.776	9782.5	9625.45	9936.55	889.8746667	890	876	903	0	0	0.8495363121	0.8322038397
markers	top500	3	227,226,290,307,252,317,283,244,350,331	3.4528,3.4464,3.3798,3.2591,3.2472,3.2352,3.1926,3.1715,3.106,3.0672
cluster_qc	top500	4	200	3.738317757	9838.82	9843.5	9712.55	9956.05	949.895	950	938	960	0	197	0.8467314554	0.8306740041
markers	top500	4	227,226,290,317,307,252,283,244,350,275	2.7768,2.7725,2.6944,2.5836,2.5765,2.5654,2.5175,2.5061,2.4212,2.4186
cluster_qc	top500	5	100	1.869158879	9834.95	9827	9733.75	9960.35	950.43	950	940.95	960	0	98	0.8317754985	0.8153096813
markers	top500	5	167,171,186,163,114,178,144,197,149,117	2.0674,2.0101,1.9839,1.8833,1.8326,1.8238,1.8153,1.8014,1.7541,1.7483
cluster_qc	top500	6	50	0.9345794393	9837.34	9837.5	9738.2	9929.1	943	944	931	954	0	41	0.8479030615	0.8308412256
markers	top500	6	227,226,290,252,307,283,317,244,350,331	2.7609,2.7364,2.6755,2.5961,2.5436,2.5243,2.5134,2.4427,2.4049,2.3938
centroid_distance	top500	1	2	43.10357203
centroid_distance	top500	1	3	43.11920294
centroid_distance	top500	1	4	24.61966087
centroid_distance	top500	1	5	24.58473693
centroid_distance	top500	1	6	43.55851272
centroid_distance	top500	2	3	41.47450759
centroid_distance	top500	2	4	42.48469721
centroid_distance	top500	2	5	24.21434271
centroid_distance	top500	2	6	23.83884598
centroid_distance	top500	3	4	24.45860094
centroid_distance	top500	3	5	42.15006292
