	0
0	12.493092
1	12.536333
2	12.281681
3	12.110393
4	12.718339
5	13.267718
6	14.232472
7	12.181601
8	12.571660
9	13.292879
10	12.959145
11	12.823059
12	12.863284
13	12.932771
14	12.568822
15	12.198544
16	14.203791
17	13.301520
18	13.025905
19	13.869866
20	14.179071
21	14.154626
22	12.232812
23	13.981504
24	12.815694
25	13.249841
26	13.952271
27	13.039395
28	13.032778
29	12.402075
30	12.469548
31	14.162919
32	13.886924
33	13.562339
34	13.554716
35	12.226757
36	13.889465
37	12.227501
38	12.858551
39	12.266081
40	12.400640
41	13.334941
42	12.741849
43	14.381363
44	12.640307
45	13.979773
46	13.111759
47	14.365204
48	12.538078
49	13.000943
50	13.492229
51	12.508360
52	12.155852
53	14.216572
54	12.919005
55	12.804151
56	12.142829
57	13.124792
58	13.297821
59	13.752996
60	12.350446
61	13.000916
62	12.587498
63	13.637312
64	12.175057
65	12.519726
66	13.740136
67	12.387219
68	14.293494
69	12.634896
70	12.965401
71	12.978107
72	12.610534
73	13.002935
74	14.309847
75	12.300910
76	12.829007
77	12.770685
78	12.883456
79	12.312390
80	13.759039
81	12.634140
82	13.902643
83	14.035000
84	13.724524
85	12.729164
86	12.631847
87	13.448358
88	13.319652
89	13.703939
90	13.885881
91	14.194378
92	13.248222
93	12.985180
94	14.184334
95	13.674846
96	13.560062
97	13.368739
98	12.727060
99	13.752105
100	13.630477
101	12.757659
102	13.269698
103	14.079358
104	14.171869
105	14.269453
106	14.089483
107	14.067262
108	13.722494
109	13.228524
110	12.719432
111	13.430330
112	13.321552
113	12.228377
114	12.199642
115	13.659057
116	13.762021
117	13.761723
118	12.948962
119	12.247915
120	12.366996
121	13.432650
122	13.865960
123	12.657534
124	13.283996
125	13.528725
126	13.808320
127	13.089483
128	12.858301
129	12.754359
130	13.441905
131	12.410392
132	13.437548
133	14.093135
134	13.164848
135	14.017166
136	13.869656
137	12.882010
138	14.217191
139	12.785343
140	12.696758
141	12.469183
142	13.351604
143	12.432124
144	13.654768
145	13.247174
146	14.316284
147	12.558914
148	13.749682
149	12.360749
150	12.316809
151	12.671503
152	13.448803
153	12.617089
154	12.295150
155	12.607928
156	13.998907
157	13.012131
158	13.757846
159	13.996510
160	14.356547
161	13.875064
162	13.844884
163	12.179626
164	12.138971
165	13.739257
166	13.584386
167	13.009175
168	12.475015
169	12.406631
170	13.678011
171	12.997206
172	12.204016
173	12.713742
174	13.974172
175	12.667745
176	14.175983
177	12.312395
178	14.129970
179	13.060879
180	12.829604
181	13.246786
182	12.294843
183	13.955831
184	13.702991
185	13.549123
186	13.263238
187	12.623572
188	14.350500
189	14.131956
190	13.201923
191	13.364238
192	13.914182
193	13.830893
194	14.221142
195	12.326723
196	12.730452
197	12.561195
198	13.627469
199	14.369522
