	0
0	2.079442
1	2.662588
2	2.367124
3	2.512306
4	2.079442
5	1.897120
6	0.693147
7	2.564949
8	2.159484
9	1.791759
10	2.233592
11	2.159484
12	1.845827
13	2.079442
14	2.036882
15	2.120263
16	0.847298
17	1.845827
18	1.992430
19	0.693147
20	0.000000
21	0.847298
22	2.335375
23	0.510826
24	1.540445
25	1.609438
26	0.980829
27	1.098612
28	2.159484
29	1.791759
30	2.427748
31	0.693147
32	0.000000
33	0.980829
34	1.098612
35	1.897120
36	1.386294
37	2.564949
38	1.897120
39	2.367124
40	1.945910
41	1.673976
42	1.466337
43	-0.405465
44	1.992430
45	0.510826
46	1.673976
47	0.847298
48	2.302585
49	1.897120
50	0.000000
51	1.734601
52	2.639057
53	-0.405465
54	1.845827
55	1.897120
56	1.992430
57	1.299283
58	0.980829
59	1.540445
60	2.772589
61	1.466337
62	2.036882
63	0.693147
64	2.564949
65	2.268684
66	1.466337
67	2.456736
68	0.847298
69	1.791759
70	2.120263
71	1.897120
72	2.159484
73	1.466337
74	0.000000
75	2.233592
76	1.897120
77	1.845827
78	1.734601
79	2.079442
80	0.287682
81	1.992430
82	0.693147
83	-0.405465
84	1.386294
85	1.791759
86	2.197225
87	1.609438
88	1.386294
89	0.847298
90	1.203973
91	1.203973
92	1.945910
93	1.945910
94	-0.405465
95	1.466337
96	1.609438
97	1.299283
98	2.197225
99	0.693147
100	0.980829
101	2.159484
102	1.791759
103	-1.098613
104	0.287682
105	0.287682
106	0.510826
107	1.098612
108	1.466337
109	1.299283
110	1.540445
111	1.098612
112	1.540445
113	1.945910
114	2.730029
115	0.980829
116	0.693147
117	0.847298
118	1.845827
119	2.197225
120	1.897120
121	0.980829
122	1.203973
123	1.992430
124	0.847298
125	-0.405465
126	1.609438
127	1.945910
128	1.540445
129	2.036882
130	0.510826
131	1.540445
132	1.466337
133	0.510826
134	1.386294
135	0.287682
136	0.000000
137	1.734601
138	0.693147
139	1.992430
140	1.897120
141	2.367124
142	1.299283
143	1.897120
144	0.980829
145	1.299283
146	0.000000
147	1.992430
148	0.510826
149	1.845827
150	2.159484
151	2.079442
152	1.299283
153	1.673976
154	2.512306
155	2.427748
156	0.847298
157	0.980829
158	1.299283
159	1.098612
160	0.510826
161	0.510826
162	0.000000
163	2.685577
164	2.079442
165	0.847298
166	0.847298
167	1.945910
168	1.845827
169	1.734601
170	1.203973
171	1.466337
172	2.685577
173	2.036882
174	1.098612
175	1.673976
176	0.510826
177	2.367124
178	-0.405465
179	1.845827
180	2.159484
181	1.673976
182	2.456736
183	1.299283
184	1.299283
185	1.540445
186	1.098612
187	1.466337
188	0.510826
189	0.847298
190	1.540445
191	1.203973
192	0.287682
193	0.980829
194	1.203973
195	2.335375
196	2.197225
197	2.197225
198	1.098612
199	0.287682
