	0
278266	14.333333
215708	10.666667
181751	12.333333
333814	8.000000
578225	6.666667
1517344	2.000000
195165	13.000000
288272	8.666667
592958	6.000000
424703	9.333333
370667	8.666667
385881	6.333333
413648	8.000000
287455	7.666667
198500	8.333333
1474443	2.333333
598104	6.333333
454024	7.333333
1055860	2.000000
1438442	1.000000
1403705	2.333333
205420	10.333333
1180565	1.666667
367947	4.666667
567980	5.000000
1146553	2.666667
460190	3.000000
457155	8.666667
243306	6.000000
260289	11.333333
1415395	2.000000
1074025	1.000000
776335	2.666667
770439	3.000000
204180	6.666667
1076758	4.000000
204332	13.000000
384059	6.666667
212369	10.666667
242957	7.000000
618431	5.333333
341755	4.333333
1760949	0.666667
308756	7.333333
1178524	1.666667
494726	5.333333
1732722	2.333333
278752	10.000000
442831	6.666667
723770	1.000000
270590	5.666667
190204	14.000000
1493409	0.666667
407993	6.333333
363724	6.666667
187743	7.333333
501216	3.666667
595896	2.666667
939399	4.666667
231063	16.000000
442819	4.333333
292874	7.666667
836776	2.000000
193892	13.000000
273683	9.666667
927396	4.333333
239718	11.666667
1612818	2.333333
307090	6.000000
427368	8.333333
432833	6.666667
299699	8.666667
443714	4.333333
1639410	1.000000
219896	9.333333
372878	6.666667
351753	6.333333
393744	5.666667
222435	8.000000
945093	1.333333
306858	7.333333
1091041	2.000000
1245441	0.666667
913030	4.000000
337447	6.000000
306155	9.000000
692704	5.000000
609048	4.000000
894427	2.333333
1072906	3.333333
1460630	3.333333
567061	7.000000
435905	7.000000
1446032	0.666667
868781	4.333333
774569	5.000000
639690	3.666667
336738	9.000000
938563	2.000000
831076	2.666667
347201	8.666667
579371	6.000000
1301929	0.333333
1428119	1.333333
1574508	1.333333
1315178	1.666667
1286276	3.000000
911178	4.333333
556000	3.666667
334179	4.666667
680328	3.000000
610206	4.666667
204511	7.000000
198718	15.333333
855171	2.666667
947916	2.000000
947633	2.333333
420400	6.333333
208546	9.000000
234919	6.666667
681908	2.666667
1051744	3.333333
314121	7.333333
587714	2.333333
750673	0.666667
992835	5.000000
483827	7.000000
383963	4.666667
346057	7.666667
688248	1.666667
245338	4.666667
685256	4.333333
1319991	1.666667
521700	4.000000
1223427	1.333333
1055638	1.000000
393175	5.666667
1494334	2.000000
356947	7.333333
326687	6.666667
260194	10.666667
628822	3.666667
250728	6.666667
851511	2.666667
566467	3.666667
1649997	1.000000
284621	7.333333
936291	1.666667
233456	6.333333
223420	8.666667
318540	8.000000
693012	3.666667
301670	5.333333
218633	12.333333
298919	11.333333
1201290	2.333333
447813	2.666667
943967	3.666667
1198414	3.000000
1717786	1.666667
1061362	1.666667
1029809	1.000000
194780	14.666667
187020	8.000000
926581	2.333333
793641	2.333333
446491	7.000000
261716	6.333333
244417	5.666667
871535	3.333333
441179	4.333333
199589	14.666667
332283	7.666667
1171941	3.000000
317345	5.333333
1434007	1.666667
222436	10.666667
1369519	0.666667
470184	6.333333
373101	8.666667
566247	5.333333
218566	11.666667
1150642	3.666667
893580	3.666667
766142	4.666667
575640	3.000000
303632	4.333333
1707430	1.666667
1372242	2.333333
541405	4.666667
636817	3.333333
1103704	1.333333
1015501	2.666667
1500249	3.333333
225646	10.333333
337882	9.000000
285271	9.000000
828580	3.000000
1740220	1.333333
