266490	6	8	10
278266	13	15	15
215708	13	8	11
181751	14	12	11
333814	9	7	8
578225	5	9	6
1517344	4	1	1
195165	12	17	10
288272	13	7	6
592958	7	6	5
424703	8	5	15
370667	7	11	8
385881	3	9	7
413648	5	9	10
287455	7	11	5
198500	11	8	6
1474443	2	3	2
598104	7	9	3
454024	7	7	8
1055860	1	3	2
1438442	1	0	2
1403705	3	3	1
205420	11	12	8
1180565	1	4	0
367947	6	5	3
567980	5	2	8
1146553	5	2	1
460190	3	5	1
457155	13	6	7
243306	4	6	8
260289	13	10	11
1415395	3	2	1
1074025	2	1	0
776335	2	2	4
770439	1	4	4
204180	5	8	7
1076758	5	3	4
204332	15	17	7
384059	9	3	8
212369	8	16	8
242957	10	5	6
618431	6	3	7
341755	6	3	4
1760949	1	1	0
308756	8	7	7
1178524	1	2	2
494726	5	5	6
1732722	2	3	2
278752	9	14	7
442831	6	10	4
723770	1	2	0
270590	3	8	6
190204	13	14	15
1493409	1	1	0
407993	3	7	9
363724	5	7	8
187743	8	9	5
501216	4	3	4
595896	2	3	3
939399	3	7	4
231063	16	18	14
442819	6	3	4
292874	6	7	10
836776	1	3	2
193892	12	10	17
273683	9	9	11
927396	6	5	2
239718	12	14	9
1612818	4	1	2
307090	5	6	7
427368	4	12	9
432833	5	7	8
299699	12	9	5
443714	5	4	4
1639410	2	0	1
219896	13	11	4
372878	5	8	7
351753	7	8	4
393744	4	5	8
222435	9	8	7
945093	0	1	3
306858	7	4	11
1091041	1	3	2
1245441	1	0	1
913030	3	6	3
337447	6	6	6
306155	10	9	8
692704	2	7	6
609048	3	3	6
894427	1	1	5
1072906	2	6	2
1460630	5	4	1
567061	3	7	11
435905	6	9	6
1446032	2	0	0
868781	7	5	1
774569	7	2	6
639690	4	1	6
336738	9	7	11
938563	2	4	0
831076	2	3	3
347201	6	6	14
579371	4	9	5
1301929	0	0	1
1428119	1	1	2
1574508	1	0	3
1315178	0	2	3
1286276	3	5	1
911178	9	4	0
556000	0	5	6
334179	9	2	3
680328	4	3	2
610206	4	6	4
204511	6	10	5
198718	17	16	13
855171	2	5	1
947916	0	3	3
947633	3	3	1
420400	10	4	5
208546	9	9	9
234919	7	4	9
681908	2	4	2
1051744	4	4	2
314121	9	6	7
587714	5	1	1
750673	1	1	0
992835	5	5	5
483827	3	7	11
383963	3	4	7
346057	7	8	8
688248	2	1	2
245338	5	3	6
685256	3	4	6
1319991	0	2	3
521700	3	4	5
1223427	2	2	0
1055638	1	1	1
393175	1	7	9
1494334	2	1	3
356947	4	8	10
326687	10	4	6
260194	11	9	12
628822	6	4	1
250728	4	7	9
851511	0	6	2
566467	3	5	3
1649997	1	2	0
284621	7	5	10
936291	3	0	2
233456	5	6	8
223420	9	10	7
318540	4	10	10
693012	4	1	6
301670	5	5	6
218633	16	9	12
298919	9	13	12
1201290	3	3	1
447813	2	5	1
943967	4	3	4
1198414	4	4	1
1717786	1	2	2
1061362	1	2	2
1029809	0	0	3
194780	10	16	18
187020	12	8	4
926581	2	2	3
793641	2	2	3
446491	8	9	4
261716	8	6	5
244417	5	6	6
871535	3	5	2
441179	3	8	2
199589	16	15	13
332283	9	5	9
1171941	2	1	6
317345	7	0	9
1434007	1	3	1
222436	9	10	13
1369519	0	0	2
470184	3	9	7
373101	9	7	10
566247	4	8	4
218566	11	7	17
1150642	4	2	5
893580	1	5	5
766142	4	4	6
575640	4	1	4
303632	7	3	3
1707430	0	1	4
1372242	1	5	1
541405	7	1	6
636817	4	4	2
1103704	0	3	1
1015501	2	5	1
1500249	3	2	5
225646	11	16	4
337882	12	7	8
285271	15	7	5
828580	4	2	3
1740220	1	1	2
260000	17	19	14
520000	7	9	11
340000	21	22	15
1050000	6	12	2
780000	3	0	2
410000	3	6	4
650000	2	1	4
