	0
13	15.000000
13	9.500000
14	11.500000
9	7.500000
5	7.500000
4	1.000000
12	13.500000
13	6.500000
7	5.500000
8	10.000000
7	9.500000
3	8.000000
5	9.500000
7	8.000000
11	7.000000
2	2.500000
7	6.000000
7	7.500000
1	2.500000
1	1.000000
3	2.000000
11	10.000000
1	2.000000
6	4.000000
5	5.000000
5	1.500000
3	3.000000
13	6.500000
4	7.000000
13	10.500000
3	1.500000
2	0.500000
2	3.000000
1	4.000000
5	7.500000
5	3.500000
15	12.000000
9	5.500000
8	12.000000
10	5.500000
6	5.000000
6	3.500000
1	0.500000
8	7.000000
1	2.000000
5	5.500000
2	2.500000
9	10.500000
6	7.000000
1	1.000000
3	7.000000
13	14.500000
1	0.500000
3	8.000000
5	7.500000
8	7.000000
4	3.500000
2	3.000000
3	5.500000
16	16.000000
6	3.500000
6	8.500000
1	2.500000
12	13.500000
9	10.000000
6	3.500000
12	11.500000
4	1.500000
5	6.500000
4	10.500000
5	7.500000
12	7.000000
5	4.000000
2	0.500000
13	7.500000
5	7.500000
7	6.000000
4	6.500000
9	7.500000
0	2.000000
7	7.500000
1	2.500000
1	0.500000
3	4.500000
6	6.000000
10	8.500000
2	6.500000
3	4.500000
1	3.000000
2	4.000000
5	2.500000
3	9.000000
6	7.500000
2	0.000000
7	3.000000
7	4.000000
4	3.500000
9	9.000000
2	2.000000
2	3.000000
6	10.000000
4	7.000000
0	0.500000
1	1.500000
1	1.500000
0	2.500000
3	3.000000
9	2.000000
0	5.500000
9	2.500000
4	2.500000
4	5.000000
6	7.500000
17	14.500000
2	3.000000
0	3.000000
3	2.000000
10	4.500000
9	9.000000
7	6.500000
2	3.000000
4	3.000000
9	6.500000
5	1.000000
1	0.500000
5	5.000000
3	9.000000
3	5.500000
7	8.000000
2	1.500000
5	4.500000
3	5.000000
0	2.500000
3	4.500000
2	1.000000
1	1.000000
1	8.000000
2	2.000000
4	9.000000
10	5.000000
11	10.500000
6	2.500000
4	8.000000
0	4.000000
3	4.000000
1	1.000000
7	7.500000
3	1.000000
5	7.000000
9	8.500000
4	10.000000
4	3.500000
5	5.500000
16	10.500000
9	12.500000
3	2.000000
2	3.000000
4	3.500000
4	2.500000
1	2.000000
1	2.000000
0	1.500000
10	17.000000
12	6.000000
2	2.500000
2	2.500000
8	6.500000
8	5.500000
5	6.000000
3	3.500000
3	5.000000
16	14.000000
9	7.000000
2	3.500000
7	4.500000
1	2.000000
9	11.500000
0	1.000000
3	8.000000
9	8.500000
4	6.000000
11	12.000000
4	3.500000
1	5.000000
4	5.000000
4	2.500000
7	3.000000
0	2.500000
1	3.000000
7	3.500000
4	3.000000
0	2.000000
2	3.000000
3	3.500000
11	10.000000
12	7.500000
15	6.000000
4	2.500000
1	1.500000
17	16.500000
7	10.000000
21	18.500000
6	7.000000
3	1.000000
3	5.000000
2	2.500000
