EP1	g1	control	1	1042
EP1	g1	control	2	931
EP1	g1	control	3	856
EP1	g2	control	1	767
EP1	g2	control	2	805
EP1	g2	control	3	740
EP1	g3	control	1	807
EP1	g3	control	2	753
EP1	g3	control	3	990
EP1	g4	control	1	875
EP1	g4	control	2	1023
EP1	g4	control	3	950
EP2	g1	control	1	1602
EP2	g1	control	2	1161
EP2	g1	control	3	1255
EP2	g2	control	1	1425
EP2	g2	control	2	1337
EP2	g2	control	3	1462
EP2	g3	control	1	1280
EP2	g3	control	2	1458
EP2	g3	control	3	1201
EP2	g4	control	1	1272
EP2	g4	control	2	1199
EP2	g4	control	3	1430
EP3	g1	control	1	948
EP3	g1	control	2	890
EP3	g1	control	3	950
EP3	g2	control	1	1046
EP3	g2	control	2	1007
EP3	g2	control	3	983
EP3	g3	control	1	1004
EP3	g3	control	2	961
EP3	g3	control	3	944
EP3	g4	control	1	958
EP3	g4	control	2	1039
EP3	g4	control	3	1013
EP4	g1	control	1	795
EP4	g1	control	2	547
EP4	g1	control	3	722
EP4	g2	control	1	628
EP4	g2	control	2	799
EP4	g2	control	3	677
EP4	g3	control	1	732
EP4	g3	control	2	810
EP4	g3	control	3	656
EP4	g4	control	1	646
EP4	g4	control	2	729
EP4	g4	control	3	773
EP5	g1	control	1	1018
EP5	g1	control	2	1046
EP5	g1	control	3	873
EP5	g2	control	1	1096
EP5	g2	control	2	1046
EP5	g2	control	3	1126
EP5	g3	control	1	1224
EP5	g3	control	2	951
EP5	g3	control	3	996
EP5	g4	control	1	948
EP5	g4	control	2	985
EP5	g4	control	3	1033
EP6	g1	control	1	526
EP6	g1	control	2	681
EP6	g1	control	3	623
EP6	g2	control	1	654
EP6	g2	control	2	619
EP6	g2	control	3	702
EP6	g3	control	1	645
EP6	g3	control	2	818
EP6	g3	control	3	570
EP6	g4	control	1	759
EP6	g4	control	2	621
EP6	g4	control	3	640
EP7	g1	control	1	1339
EP7	g1	control	2	1166
EP7	g1	control	3	1198
EP7	g2	control	1	1203
EP7	g2	control	2	1164
EP7	g2	control	3	1100
EP7	g3	control	1	1488
EP7	g3	control	2	890
EP7	g3	control	3	1199
EP7	g4	control	1	1179
EP7	g4	control	2	1055
EP7	g4	control	3	1178
