#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	199140	4	34	6267401	31.472336	31.000000	31.000000	34.000000	3.000000	27	34	4,10,16,18,19,22,23,25,26	25807	99555	49853	23921	4		
2	199140	4	34	6182533	31.046164	31.000000	31.000000	34.000000	3.000000	27	34	4,10,16,18,19,22,23,25,26	40329	39029	40847	78868	67		
3	199140	4	34	5835406	29.303033	28.000000	31.000000	34.000000	6.000000	19	34	4,10,16,18	46403	50851	50699	51184	3		
4	199140	4	37	6708881	33.689269	33.000000	35.000000	37.000000	4.000000	27	37	4,10,15,16,19,22,25,26	62279	44134	52648	40079	0		
5	199140	4	37	6927198	34.785568	35.000000	35.000000	37.000000	2.000000	32	37	4,10,15,16,19,22,25,26,27,28,29,30,31	62710	37822	55702	42893	13		
6	199140	4	38	7006894	35.185769	35.000000	37.000000	37.000000	2.000000	32	38	4,9,10,11,14,15,16,17,18,19,21,22,23,25,26,27,28,29,30,31	67357	43665	43044	45074	0		
7	199140	4	38	7043748	35.370835	35.000000	37.000000	37.000000	2.000000	32	38	4,9,10,11,12,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31	32506	46855	39079	80700	0		
8	199140	4	38	7056023	35.432475	35.000000	37.000000	37.000000	2.000000	32	38	4,9,10,11,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31	41298	58830	40582	58430	0		
9	199140	4	39	7393911	37.129211	37.000000	39.000000	39.000000	2.000000	34	39	4,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	40458	53999	42051	62632	0		
10	199140	4	39	7395462	37.136999	37.000000	39.000000	39.000000	2.000000	34	39	4,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	68941	38629	46716	44854	0		
11	199140	4	39	7399346	37.156503	37.000000	39.000000	39.000000	2.000000	34	39	4,6,9,10,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	49184	55864	54801	39291	0		
12	199140	4	39	7386134	37.090158	37.000000	39.000000	39.000000	2.000000	34	39	4,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	44503	54043	46807	53787	0		
13	199140	4	39	7380059	37.059652	37.000000	39.000000	39.000000	2.000000	34	39	4,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	49884	47200	45135	56921	0		
14	199140	4	40	7528759	37.806362	38.000000	40.000000	40.000000	2.000000	35	40	4,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	49655	48039	47297	54149	0		
15	199140	4	40	7536148	37.843467	38.000000	40.000000	40.000000	2.000000	35	40	4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	50163	49344	47876	51757	0		
16	199140	4	40	7532512	37.825208	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	49811	49133	49388	50808	0		
17	199140	4	40	7489214	37.607783	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	50665	48071	50000	50404	0		
18	199140	4	40	7516785	37.746234	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	50956	48990	48369	50825	0		
19	199140	4	40	7541972	37.872713	38.000000	40.000000	40.000000	2.000000	35	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	50350	49038	48981	50771	0		
20	199140	4	40	7532084	37.823059	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51373	48091	48781	50895	0		
21	199140	4	40	7534130	37.833333	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	50531	48568	48781	51260	0		
22	199140	4	40	7523773	37.781325	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51303	48628	48465	50738	6		
23	199140	4	40	7518495	37.754821	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51663	47473	48608	51396	0		
24	199140	4	40	7504913	37.686617	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51336	47675	48524	51605	0		
25	199140	4	40	7487046	37.596897	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51482	48449	48616	50562	31		
26	199140	4	40	7470819	37.515411	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51763	47771	48476	51049	81		
27	199140	4	40	7458472	37.453410	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51618	48377	47372	51688	85		
28	199140	4	40	7447777	37.399704	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	50454	49061	48653	50889	83		
29	199140	4	40	7432078	37.320870	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51237	48182	48537	51122	62		
30	199140	4	40	7421822	37.269368	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51391	48308	48199	51220	22		
31	199140	4	40	7409149	37.205730	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	50934	48866	48203	51129	8		
32	199140	4	40	7398912	37.154324	37.000000	40.000000	40.000000	3.000000	33	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	51581	48282	47830	51440	7		
33	199140	4	40	7388315	37.101110	36.000000	40.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51066	48100	48285	51689	0		
34	199140	4	40	7344369	36.880431	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51220	48501	49008	50411	0		
35	199140	4	40	7337841	36.847650	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51728	47850	48974	50588	0		
36	199140	4	40	7330965	36.813121	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51304	48310	48797	50729	0		
37	199140	4	40	7321830	36.767249	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51208	49016	48638	50278	0		
38	199140	4	40	7298679	36.650994	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51540	47732	48634	51234	0		
39	199140	4	40	7289536	36.605082	36.000000	39.000000	40.000000	4.000000	30	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	51303	48397	48296	51142	2		
40	199140	4	40	7273463	36.524370	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	50754	49123	48534	50723	6		
41	199140	4	40	7261293	36.463257	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51822	47890	48508	50910	10		
42	199140	4	40	7261858	36.466094	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51154	48178	47984	51813	11		
43	199140	4	40	7247387	36.393427	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51195	48189	48796	50952	8		
44	199140	4	40	7234233	36.327373	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51629	47590	48669	51250	2		
45	199140	4	40	7234275	36.327584	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51441	48084	48265	51350	0		
46	199140	4	40	7255846	36.435904	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	50736	48430	48792	51182	0		
47	199140	4	40	7236586	36.339189	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51677	47558	48823	51082	0		
48	199140	4	40	7252146	36.417324	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51050	48357	47870	51863	0		
49	199140	4	40	7248589	36.399463	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51005	48510	48640	50984	1		
50	199140	4	40	7235799	36.335237	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51905	47609	48215	51410	1		
51	199140	4	40	7223962	36.275796	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	50980	48222	48126	51812	0		
52	199140	4	40	7204177	36.176444	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51002	48196	49043	50899	0		
53	199140	4	40	7169596	36.002792	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51462	47396	48826	51446	10		
54	199140	4	40	7160178	35.955499	35.000000	39.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51273	48184	48412	51268	3		
55	199140	4	40	7138509	35.846686	35.000000	38.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	50692	49041	48724	50683	0		
56	199140	4	40	7118736	35.747394	35.000000	38.000000	40.000000	5.000000	28	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	51404	48064	48419	51253	0		
57	199140	4	40	7100053	35.653575	34.000000	38.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51176	48258	48075	51631	0		
58	199140	4	40	7082022	35.563031	34.000000	38.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	50894	48371	49056	50819	0		
59	199140	4	40	7029212	35.297841	34.000000	38.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51918	47479	48747	50996	0		
60	199140	4	40	7005526	35.178899	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	52009	48190	47654	51287	0		
61	199140	4	40	6992694	35.114462	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51363	48195	48709	50873	0		
62	199140	4	40	6972327	35.012187	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51832	47671	48566	51071	0		
63	199140	4	40	6942078	34.860289	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51252	47808	47632	52448	0		
64	199140	4	40	6922530	34.762127	34.000000	37.000000	40.000000	6.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51088	48384	48321	51347	0		
65	199140	4	40	6891429	34.605951	34.000000	36.000000	39.000000	5.000000	27	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	52105	47508	48296	51231	0		
66	199140	4	40	6852830	34.412122	33.000000	36.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	51738	47726	48241	51435	0		
67	199140	4	40	6824035	34.267525	33.000000	36.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	51483	48602	48537	50518	0		
68	199140	4	40	6792398	34.108657	33.000000	36.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	51833	47652	48244	51411	0		
69	199140	4	40	6766326	33.977734	33.000000	35.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	51507	48294	47596	51743	0		
70	199140	4	40	6736649	33.828708	33.000000	35.000000	39.000000	6.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	51268	48234	48326	51312	0		
71	199140	4	40	6703417	33.661831	33.000000	35.000000	38.000000	5.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	51513	47530	48215	51882	0		
72	199140	4	40	6667438	33.481159	33.000000	35.000000	38.000000	5.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	51506	47696	47976	51962	0		
73	199140	4	40	6616237	33.224048	32.000000	35.000000	37.000000	5.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51553	48396	48748	50441	2		
74	199140	4	40	6586013	33.072276	32.000000	35.000000	37.000000	5.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	52458	47313	47747	51620	2		
75	199140	4	40	6553279	32.907899	32.000000	35.000000	37.000000	5.000000	25	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24	51766	47429	48434	51496	15		
76	199140	4	40	6322906	31.751060	30.000000	34.000000	36.000000	6.000000	21	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	51334	48045	48415	51332	14		
77	199140	4	40	6412600	32.201466	31.000000	34.000000	36.000000	5.000000	24	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	51643	47603	48612	51265	17		
78	199140	4	40	6450708	32.392829	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	51375	47856	48065	51841	3		
79	199140	4	40	6457203	32.425444	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	50794	48144	48582	51620	0		
80	199140	4	40	6445666	32.367510	32.000000	35.000000	36.000000	4.000000	26	40	4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	51415	47479	48678	51568	0		
