barcode	B_Cell	Endothelial	Fibroblast_Stroma	Macrophage	T_Cell	Tumor_Core	relative_residual
Spot_0-1	0.98526165	0	0	0	0	0.01473835002	0.5085591542
Spot_1-1	0.004630680638	0.9822846121	0.01050668585	0.002578021385	0	0	0.486971487
Spot_2-1	0.270186524	0.4800462754	0	0.244467814	0.005299386597	0	0.3550446374
Spot_3-1	0.2420489469	0.2648172151	0.001784658936	0.2401359834	0.250920837	0.0002923587039	0.3731237786
Spot_4-1	0.0003945124745	0.6579952676	0	0.3094714751	0	0.03213874484	0.3580041195
Spot_5-1	0	0.4778292216	0	0.4908474157	0	0.03132336267	0.420627297
Spot_6-1	0.2648901357	0	0.007642174873	0.7272131084	0.0002545810568	0	0.3238352193
Spot_7-1	0.9858624936	0	0	0.01413750638	0	0	0.4975680238
Spot_8-1	0.4903045261	0.4983385615	0	0	0	0.01135691245	0.4722742258
Spot_9-1	0.9626439448	0.02741024968	0	0	0	0.009945805485	0.4907068861
Spot_10-1	0	0	0.007147156687	0.9928528433	0	0	0.5038273051
Spot_11-1	0.0459268319	0.9246777688	0.004630585908	0.001389778503	0.02337503485	0	0.5140907952
Spot_12-1	0.985767183	0	0.01423281695	0	0	0	0.503554771
Spot_13-1	0.004813155915	0.4763711289	0	0.4971760195	0.01244774675	0.009191948866	0.4461333943
Spot_14-1	0.5101537958	0.02389926699	0	0.4659208539	0	2.608336627e-05	0.4569312872
Spot_15-1	0.5108884784	0.4806113791	0	0.002971025701	0.001545040243	0.003984076585	0.4507982192
Spot_16-1	0.4778021062	0	0	0.01268684488	0.5034240046	0.006087044374	0.4292173873
Spot_17-1	0.9920530425	0.007946957464	0	0	0	0	0.3941258877
Spot_18-1	0.00605900479	0	0.5223912278	0.01175005757	0.4556413277	0.004158382146	0.4547289411
Spot_19-1	0.5130961193	0	0	0.001001341953	0.4859025387	0	0.4267515575
Spot_20-1	0	0	0	0	0.9913625834	0.008637416649	0.4978685477
Spot_21-1	0	0	0.006193589636	0	0.9769504417	0.01685596862	0.4958791814
Spot_22-1	0	0.9676522529	0	0.0220413254	0	0.01030642173	0.3768065969
Spot_23-1	0.9856817576	0	0.002723048035	0	0.01159519438	0	0.5102687988
Spot_24-1	0	0.3235936689	0	0.0004282658659	0.6759780652	0	0.3748333237
Spot_25-1	0	0.953657562	0.02437971228	0.02196272573	0	0	0.4864970073
Spot_26-1	0	0.5881677049	0	0.4118322951	0	0	0.2929074168
Spot_27-1	0.007051301374	0	0	0.9654181391	0.0006801199642	0.02685043954	0.501316857
Spot_28-1	0.5002839945	0	0	0.01526818435	0.4844478212	0	0.445138901
Spot_29-1	0.004026836137	0	0	0	0.9929759159	0.002997247922	0.4969155616
Spot_30-1	0.3330687515	0.3395903193	0.01575868492	0	0.3026557194	0.008926524938	0.3931445306
